survey_name,orig_item_num,item_text,variable_name,response_type,response_options,response_options_text,age_range,form_construct,form_subconstruct,response_directed,form_frequency,Acknowledgements,Outstanding questions
Executive Function Questionnaire,21,"Remembers and considers all options when making a choice (e.g., what to do when they get stuck on a household task or face a problem, food options)",ChildEFQ21,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
Executive Function Questionnaire,22,"Remembers physical directions, patterns, and where things are (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek)",ChildEFQ22,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Working Memory,caregiver about child,longitudinal,,
Executive Function Questionnaire,23,"Comes up with new ways for solving challenges (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore)",ChildEFQ23,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,24,"Expresses themselves in a new way when not understood by others (e.g., tries different ways to communicate their needs and wants)",ChildEFQ24,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,25,"Adjusts when plans/schedules change (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation)",ChildEFQ25,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,26,"Understands conflicting perspectives/ideas (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective)",ChildEFQ26,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,27,"Connects ideas/experiences to other ideas/experiences (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home)",ChildEFQ27,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,28,"Adapts behavior based on what is required by the situation (e.g., switched characters/roles while playing a game, changes behavior based on playtime or study time)",ChildEFQ28,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Cognitive Flexibility,caregiver about child,longitudinal,,
Executive Function Questionnaire,29,"Identifies and gathers necessary materials before an activity (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school)",ChildEFQ29,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
Executive Function Questionnaire,30,"Creates a strategy or plan for completing a task (e.g., chore, homework, puzzle)",ChildEFQ30,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
Executive Function Questionnaire,31,"Finishes tasks on time (e.g., finishes homework and chores on time)",ChildEFQ31,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
Executive Function Questionnaire,32,"Checks for mistakes before completing a task (e.g., reviews and corrects errors on class assignments) ",ChildEFQ32,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
Executive Function Questionnaire,33,"Begins plans or routines without prompting (e.g., takes an initiative to help a family member, starts daily household chores on their own)",ChildEFQ33,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
Executive Function Questionnaire,34,"Negotiates and incorporates peers' suggestions without conflict or resistance (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together)",ChildEFQ34,numeric_scale,"4, 3, 2, 1","Almost always: shows behavior independently with ease on almost every occasion in different settings, Frequently/often: shows behavior independently with small effort on most occasions, Sometimes: shows behavior with medium effort, needs brief reminders, corrections, or support from an adult, Rarely: shows behavior with a lot of effort, needs repeated reminders, corrections, or support from an adult",,Executive Function,Planning and Organization,caregiver about child,longitudinal,,
National Survey of Children's Health,I7a,"In your neighborhood, are there sidewalks or walking paths?",HomeNSCHi7a,yes_no,"0, 1","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7b,"In your neighborhood, is there a park or playground?",HomeNSCHi7b,yes_no,"0, 1","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7c,"In your neighborhood, is there a community center or recreation center where families get together?",HomeNSCHi7c,yes_no,"0, 1","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7d,"In your neighborhood, is there a library or other place to get free books?",HomeNSCHi7d,yes_no,"0, 1","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7e,"In your neighborhood, is there litter or garbage on the street or sidewalk?",HomeNSCHi7e,yes_no,"1, 0","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7f,In your neighborhood is there poorly kept or rundown housing?,HomeNSCHi7f,yes_no,"1, 0","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I7g,"In your neighborhood, is there vandalism such as broken windows or graffiti?",HomeNSCHi7g,yes_no,"1, 0","No, Yes",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I8,To what extent do you agree with these statements about your neighborhood or community?,HomeNSCHi8items,NA,NA,NA,,NA,NA,caregiver about household,longitudinal,,
National Survey of Children's Health,I8a,People in this neighborhood help each other out,HomeNSCHi8a,numeric_scale,"3, 2, 1, 0","Definitely agree, Somewhat agree, Somewhat disagree, Definitely disagree",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I8b,We watch out for each other's children in this neighborhood,HomeNSCHi8b,numeric_scale,"3, 2, 1, 0","Definitely agree, Somewhat agree, Somewhat disagree, Definitely disagree",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I8c,This child is safe in our neighborhood,HomeNSCHi8c,numeric_scale,"3, 2, 1, 0","Definitely agree, Somewhat agree, Somewhat disagree, Definitely disagree",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I8d,"When we encounter difficulties, we know where to go for help in our community",HomeNSCHi8d,numeric_scale,"3, 2, 1, 0","Definitely agree, Somewhat agree, Somewhat disagree, Definitely disagree",,Home Environment,Community,caregiver about household,longitudinal,,
National Survey of Children's Health,I8e,This child is safe at school,HomeNSCHi8e,numeric_scale,"3, 2, 1, 0","Definitely agree, Somewhat agree, Somewhat disagree, Definitely disagree",,Home Environment,Community,caregiver about household,longitudinal,,
Food Security Module,0,"These are statements people have made about their food situation. For these statements, please mark whether the statement was often true, sometimes true, or never true for your household in the last 12 months.",HomeFood,NA,NA,NA,,NA,NA,caregiver about household,longitudinal,,
Food Security Module,1,"The food that we bought just didn't last, and we didn't have enough money to get more.",HomeFoodLast,numeric_scale,"0, 1, 2","Never true, Sometimes true, Often true",,Home Environment,Food Security,caregiver about household,longitudinal,,Confirm presentation of items in comparison to original which is an interview format.
Food Security Module,2,We couldn't afford to eat balanced meals.,HomeFoodBalanced,numeric_scale,"0, 1, 2","Never true, Sometimes true, Often true",,Home Environment,Food Security,caregiver about household,longitudinal,,
Food Security Module,3,"In the last 12 months, did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?",HomeFoodSkipMeal,yes_no,"0, 1","No, Yes",,Home Environment,Food Security,caregiver about household,longitudinal,,
Food Security Module,4,"If yes, how often did this happen - almost every month, some months but not every month, or in only 1 or 2 months?",HomeFoodSkipMealAmount,,"3, 2, 1","Almost every month, Some months but not every month, Only 1 or 2 months",,Home Environment,Food Security,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,0,Find instructions,HomeHOME,NA,NA,NA,,NA,NA,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,1,About how many children's books are in your home?,HomeHOME1,numeric,"0, 1, 2, 3, 4","None, 1-2, 3-9, 10-19, 20 or more",12-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,2,How often does your child eat a meal with family members?,HomeHOME2,numeric,"0, 1, 2, 3, 4","Never, Once a month or less, Once a week, Several times a week, Once a day, More than once a day",12-Feb,Home Environment,Family Companionship,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,3,About how many hours is the TV on in your house each day?,HomeHOME3,open_ended,NA,NA,12-Feb,Home Environment,Technology,caregiver about household,longitudinal,,where to put coding for open ended or do we want to change to a dicotomous response that follows the coding since this is a questionnaire and not an interview as designed?
Home Observation for Measurement of the Environment,4,Does your family have reliable access to the internet?,HomeHOME4,numeric,"0, 1","No, Yes",12-Feb,Home Environment,Technology,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,5,How often does your whole family get together with relatives or friends?,HomeHOME5,numeric,"1, 2, 3, 4, 5","Once a year or less, A few times a year, Once a month, Two or three times a month, Once a week or more",12-Feb,Home Environment,Family Companionship,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,6,How often does your child spend time with you or another adult in your home doing outdoor activities?,HomeHOME6,numeric,"0, 1, 2, 3, 4, 5","Never, A few times a year or less, Once a month, Once a week, At least four times a week, Once a day or more often",12-Feb,Home Environment,Family Companionship,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,7,How often do you or another adult in your home get a chance to read stories to your child?,HomeHOME7,numeric,"0, 1, 2, 3, 4, 5","Never, Several times a year, Several times a month, Once a week, About 3 times a week, Every day",12-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,9,How often do you or another adult in your home take your child to the grocery store?,HomeHOME9,numeric,"1, 2, 3, 4","Hardly ever, Once a month, Once a week, Twice a week or more",12-Feb,Home Environment,Family Companionship,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,15,Does your child have a tablet or smartphone that they regularly use to watch videos or listen to music?,HomeHOME15,numeric,"0, 1","No, Yes",12-Feb,Home Environment,Technology,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,23,Does your family have a computer that your child has access to?,HomeHOME23,numeric,"0, 1","No, Yes",12-Feb,Home Environment,Technology,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,16,How frequently do you (or another adult or older child in the home) help your child learn numbers?,,numeric,"1, 2, 3, 4, 5","Never, Once a month or less often, Once a week, Several times a week, Once a day or more",5-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,17,How frequently do you (or another adult or older child in the home) help your child learn the alphabet?,,numeric,"1, 2, 3, 4, 5","Never, Once a month or less often, Once a week, Several times a week, Once a day or more",5-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,18,How frequently do you (or another adult or older child in the home) help your child learn colors?,,numeric,"1, 2, 3, 4, 5","Never, Once a month or less often, Once a week, Several times a week, Once a day or more",5-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,19,How frequently do you (or another adult or older child in the home) help your child learn shapes and sizes?,,numeric,"1, 2, 3, 4, 5","Never, Once a month or less often, Once a week, Several times a week, Once a day or more",5-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21,"Most children get angry at their parents from time to time. If your child got so angry that he/she hit you, what would you do?",,NA,NA,NA,5-Feb,NA,NA,caregiver about household,longitudinal,,"Note reverse scoring for ""hit"" and ""spank"" and open ended scoring for last option only"
Home Observation for Measurement of the Environment,21a,Hit him/her back,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21b,Send him/her to his/her room,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21c,Spank him/her,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21d,Talk to him/her,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21e,Ignore it,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21f,Give him/her a household chore,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21h,Hold his/her hand until he/she was calm,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21i,Put him/her in a short time out,,numeric,"0, 1","No, Yes",5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,21j,"Other, please specify",,open_ended,NA,NA,5-Feb,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,22,"How often has any family member taken or arranged to take your child to any type of museum (children's, scientific, art, historical, etc.) in the past year?",HomeHOME22,numeric,"0, 1, 2, 3, 4","Never, Once or twice, Several times, About once a month or more, About once a week or more",12-Feb,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24,"Sometimes children get so angry at their parents that they say things like ""I hate you"" or swear in a temper tantrum. If your child said something like ""I hate you"" or swore at you, would you...",HomeHOME24,NA,NA,NA,12-May,NA,NA,caregiver about household,longitudinal,,"Note reverse scoring for ""spank"" and open ended scoring for last option only"
Home Observation for Measurement of the Environment,24a,Ground him/her,HomeHOME24a,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24b,Spank him/her,HomeHOME24b,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24c,Talk with him/her,HomeHOME24c,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24d,Give him/her a household chore,HomeHOME24d,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24e,Ignore it,HomeHOME24e,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24f,Send him/her to room for more than 1 hour,HomeHOME24f,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24g,Take away his/her allowance,HomeHOME24g,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24h,"Take away TV, phone, or other privileges",HomeHOME24h,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24i,Put him/her in a short time out,HomeHOME24i,numeric,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,24j,"Other, please specify",HomeHOME24j,open_ended,"0, 1","No, Yes",12-May,Home Environment,Discipline,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,25,How often is your child expected to make his/her own bed?,HomeHOME25,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,26,How often is your child expected to clean his/her own room?,HomeHOME26,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,27,How often is your child expected to pick up after him/herself?,HomeHOME27,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,28,"Is there a musical instrument (e.g. piano, drum, guitar, etc.) that your child can use at home?",HomeHOME28,numeric,"0, 1","No, Yes",12-May,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,29,How often does your child read for enjoyment?,HomeHOME29,numeric,"0, 1, 2, 3, 4","Never, Several times a year, Several times a month, Several times a week, Every day",12-May,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,30,Does your family encourage your child to start and keep doing hobbies?,HomeHOME30,numeric,"0, 1","No, Yes",12-May,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,31,"Does your child get special lessons or belong to any organization that encourages activities such as sports, music, art, dance, drama, etc.?",HomeHOME31,numeric,"0, 1","No, Yes",12-May,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,32,How often has a family member taken or arranged to take your child to any type of musical or theatrical performance within the last year?,HomeHOME32,numeric,"0, 1, 2, 3, 4","Never, Once or twice, Several times, About once a month or more, About once a week or more",12-May,Home Environment,Learning materials/opportunities,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,33,"When your family watches TV or views content online, do you or another adult in the home discuss it with your child?",HomeHOME33,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Family Companionship,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,34,How often is your child expected to clean up after spills?,HomeHOME34,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,35,How often is your child expected to bathe him/herself?,HomeHOME35,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,36,How often is your child expected to help with keeping shared living areas neat and clean?,HomeHOME36,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,37,"How often is your child expected to do routine chores such as mow the lawn, help with dinner, wash dishes, etc.?",HomeHOME37,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
Home Observation for Measurement of the Environment,38,"How often is your child expected to help manage his/her own time (get up on time, be ready for school, etc.)?",HomeHOME38,numeric,"0, 1, 2, 3, 4","Almost never, Less than half the time, Half the time, More than half the time, Almost always",12-May,Home Environment,Encouragement of Maturity,caregiver about household,longitudinal,,
"Confusion, Hubbub, and Order Scale",0,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,HomeCHAOS,NA,NA,NA,12-Feb,NA,NA,caregiver about household,longitudinal,,
"Confusion, Hubbub, and Order Scale",4,We are usually able to stay on top of things.,HomeCHAOS4,numeric,"0, 1, 2, 3, 4","Definitely Untrue, Somewhat Untrue, Neither True nor Untrue, Somewhat True, Definitely True",,Home Environment,Structure,caregiver about household,longitudinal,,
"Confusion, Hubbub, and Order Scale",10,You can't hear yourself think in our home.,HomeCHAOS10,numeric,"0, 1, 2, 3, 4","Definitely Untrue, Somewhat Untrue, Neither True nor Untrue, Somewhat True, Definitely True",,Home Environment,Structure,caregiver about household,longitudinal,,
"Confusion, Hubbub, and Order Scale",14,The atmosphere in our home is calm.,HomeCHAOS14,numeric,"0, 1, 2, 3, 4","Definitely Untrue, Somewhat Untrue, Neither True nor Untrue, Somewhat True, Definitely True",,Home Environment,Structure,caregiver about household,longitudinal,,
"Confusion, Hubbub, and Order Scale",15,We have a regular morning routine at home.,HomeCHAOS15,numeric,"0, 1, 2, 3, 4","Definitely Untrue, Somewhat Untrue, Neither True nor Untrue, Somewhat True, Definitely True",,Home Environment,Structure,caregiver about household,longitudinal,,
National Survey of Children's Health,H8,How well do you think you are handling the day-to-day demands of raising children?,SelfParentStressNSCHh8,numeric_scale,"1, 2, 3, 4","Very well, Somewhat well, Not very well, Not well at all",,Parenting,Stress,caregiver about self,longitudinal,,
National Survey of Children's Health,H9,"DURING THE PAST MONTH, how often have you felt...",SelfParentStressNCSHh9,NA,NA,NA,,Parenting,Stress,caregiver about self,longitudinal,,
National Survey of Children's Health,H9a,That this child is much harder to care for than most children their age?,SelfParentStressNSCHh9a,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Usually, Always",,Parenting,Stress,caregiver about self,longitudinal,,
National Survey of Children's Health,H9b,That this child does things that really bother you a lot?,SelfParentStressNSCHh9b,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Usually, Always",,Parenting,Stress,caregiver about self,longitudinal,,
National Survey of Children's Health,H9c,Angry with this child?,SelfParentStressNSCHh9c,numeric_scale,"0, 1, 2, 3, 4","Never, Rarely, Sometimes, Usually, Always",,Parenting,Stress,caregiver about self,longitudinal,,
Rohner Parent Report,0,"These statements describe ways different caregivers act toward their children. Please think about how well each statement describes the way you treat your child. Respond as to whether you do each item almost every day, once a week, once a month, or almost never.",SelfParentRohner,NA,NA,NA,,NA,NA,caregiver about self,longitudinal,,
Rohner Parent Report,3,I see to it that my child knows exactly what (s)he may or may not do.,SelfParentRohnerC3,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Control,caregiver about self,longitudinal,,
Rohner Parent Report,7,I always tell my child how (s)he should behave.,SelfParentRohnerC7,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Control,caregiver about self,longitudinal,,
Rohner Parent Report,14,I insist that my child do exactly as (s)he is told.,SelfParentRohnerC14,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Control,caregiver about self,longitudinal,,
Rohner Parent Report,15,I make my child feel wanted and needed.,SelfParentRohnerW15,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Warmth,caregiver about self,longitudinal,,
Rohner Parent Report,20,I let my child do anything (s)he wants to do.,SelfParentRohnerC20,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Control,caregiver about self,longitudinal,,
Rohner Parent Report,21,I make my child feel what (s)he does is important.,SelfParentRohnerW21,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Warmth,caregiver about self,longitudinal,,
Rohner Parent Report,23,I care about what my child thinks and encourage her/him to talk about it.,SelfParentRohnerW23,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Warmth,caregiver about self,longitudinal,,
Rohner Parent Report,26,I want to control whatever my child does.,SelfParentRohnerC26,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Control,caregiver about self,longitudinal,,
Rohner Parent Report,27,I let my child know I love him/her.,SelfParentRohnerW27,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Warmth,caregiver about self,longitudinal,,
Rohner Parent Report,29,I treat my child gently and kindly.,SelfParentRohnerW29,numeric_scale,"1, 2, 3, 4","never or almost never, once a month, once a week, every day",,Parenting,Warmth,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,0,All adults use certain ways to teach children the right behavior or to address a behavior problem. Please read the following methods that are used and select whether you or anyone else in your household has used this with this child in the past month.,SelfParentMICS,NA,NA,NA,,NA,NA,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,1,"Took away privileges, forbade something my child liked, or did not allow him/her to leave the house.",SelfParentMICS1,yes_no,"0, 1","No, Yes",,Parenting,Discipline,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,2,Explained why something (the behavior) was wrong.,SelfParentMICS2,yes_no,"0, 1","No, Yes",,Parenting,Discipline,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,4,"Shouted, yelled at or screamed at him/her.",SelfParentMICS4,yes_no,"0, 1","No, Yes",,Parenting,Discipline,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,6,"Spanked, hit, or slapped him/her. ",SelfParentMICS6,yes_no,"0, 1","No, Yes",,Parenting,Discipline,caregiver about self,longitudinal,,
Multiple Indicator Cluster Survey - Parent Discipline,12,"Do you believe that in order to bring up (raise, educate) your child properly, you need to physically punish him/her?",SelfParentMICS12,yes_no,"0, 1","No, Yes",,Parenting,Discipline,caregiver about self,longitudinal,,
